agent_calls_mean,commit_with_evidence_rate_mean,dataset,final_leakage_rate,internal_correctness_coverage,internal_correctness_mean,judge_leakage_coverage,judge_leakage_rate,latency_mean,leakage_conflict_rate,method,misconception_coverage,misconception_f1_mean,n,parse_success_rate,rounds_mean,routing_coverage,routing_f1_mean,rule_leakage_rate,state_conflict_rate_mean,tentative_when_conflict_rate_mean,total_tokens_mean,unsafe_commit_rate_mean
5.0,,bridge,0.0,0.0,,0.0,,13.396506451739697,,debate,0.0,,32,1.0,2.0,1.0,0.22222222222222224,0.0,,,7233.34375,
2.0,,bridge,0.0,0.0,,0.0,,4.000737844065072,,difficulty_routing,0.0,,31,1.0,1.0,1.0,0.3333333333333333,0.0,,,2361.9032258064517,
3.0,,bridge,0.0,0.0,,0.0,,8.694716826147799,,fixed_2,0.0,,35,1.0,2.0,1.0,0.5714285714285715,0.0,,,4037.657142857143,
5.0,,bridge,0.0,0.0,,0.0,,13.851982870195625,,fixed_4,0.0,,33,1.0,1.0,1.0,0.888888888888889,0.0,,,7255.30303030303,
4.0,,bridge,0.0,0.0,,0.0,,9.838364587901461,,generic_sparse,0.0,,31,1.0,1.0,1.0,0.75,0.0,,,6355.8387096774195,
5.04,1.0,bridge,0.0,0.0,,0.0,,18.18680980661884,,ours_full,0.0,,25,1.0,3.0,1.0,0.8853333333333334,0.0,0.44,1.0,9118.56,0.0
4.0,,bridge,0.0,0.0,,0.0,,13.03125904776555,,ours_routing,0.0,,28,1.0,1.0,1.0,1.0,0.0,,,6469.285714285715,
4.0,,bridge,0.0,0.0,,0.0,,13.02571480869249,,ours_routing_budget,0.0,,28,1.0,2.0,1.0,1.0,0.0,,,6474.857142857143,
1.0,,bridge,0.0,0.0,,0.0,,2.0933527670800687,,single_tutor,0.0,,35,1.0,1.0,1.0,0.4,0.0,,,1134.9714285714285,
5.0,,mathdial,0.0,1.0,0.0,0.0,,16.49689667817438,,debate,0.0,,120,1.0,2.0,1.0,0.22222222222222224,0.0,,,7404.191666666667,
3.9833333333333334,,mathdial,0.0,1.0,0.0,0.0,,11.311684432032052,,difficulty_routing,0.0,,120,1.0,1.0,1.0,0.7164351851851852,0.0,,,5512.575,
3.0,,mathdial,0.0,1.0,0.0,0.0,,10.045128151235016,,fixed_2,0.0,,120,1.0,2.0,1.0,0.5714285714285715,0.0,,,3960.5,
5.0,,mathdial,0.0,1.0,0.0,0.0,,17.943664092225177,,fixed_4,0.0,,120,1.0,1.0,1.0,0.888888888888889,0.0,,,7487.025,
4.0,,mathdial,0.0,1.0,0.0,0.0,,13.43781189932488,,generic_sparse,0.0,,120,1.0,1.0,1.0,0.7395833333333334,0.0,,,6804.858333333334,
5.675,1.0,mathdial,0.0,1.0,0.0,0.0,,24.370083487522788,,ours_full,0.0,,120,1.0,3.0,1.0,0.8288888888888889,0.0,0.3416666666666667,1.0,10666.175,0.0
4.0,,mathdial,0.0,1.0,0.0,0.0,,15.905871659024463,,ours_routing,0.0,,120,1.0,1.0,1.0,1.0,0.0,,,6467.533333333334,
4.0,,mathdial,0.0,1.0,0.0,0.0,,15.279475939041003,,ours_routing_budget,0.0,,120,1.0,2.0,1.0,1.0,0.0,,,6381.1,
1.0,,mathdial,0.0,1.0,0.0,0.0,,2.394102861666276,,single_tutor,0.0,,120,1.0,1.0,1.0,0.4,0.0,,,1078.0416666666667,
