agent_calls_mean,commit_with_evidence_rate_mean,dataset,final_leakage_rate,internal_correctness_coverage,internal_correctness_mean,judge_leakage_coverage,judge_leakage_rate,latency_mean,leakage_conflict_rate,method,misconception_coverage,misconception_f1_mean,n,parse_success_rate,rounds_mean,routing_coverage,routing_f1_mean,rule_leakage_rate,state_conflict_rate_mean,tentative_when_conflict_rate_mean,total_tokens_mean,unsafe_commit_rate_mean
5.0,,bridge,0.0,0.0,,0.0,,13.845453545018765,,debate__noise0p2__budget1000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7439.785714285715,
5.0,,bridge,0.0,0.0,,0.0,,13.837717084147569,,debate__noise0p2__budget2000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7477.571428571428,
5.0,,bridge,0.0,0.0,,0.0,,13.774148592259735,,debate__noise0p2__budget4000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7582.0,
5.0,,bridge,0.0,0.0,,0.0,,14.192685453952956,,debate__noise0p4__budget1000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7357.214285714285,
5.0,,bridge,0.0,0.0,,0.0,,14.655725241139796,,debate__noise0p4__budget2000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7438.642857142857,
5.0,,bridge,0.0,0.0,,0.0,,14.297770560785596,,debate__noise0p4__budget4000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7404.0,
5.0,,bridge,0.0,0.0,,0.0,,14.854050225212372,,fixed_4__noise0p2__budget1000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7652.214285714285,
5.0,,bridge,0.0,0.0,,0.0,,14.224714100726747,,fixed_4__noise0p2__budget2000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7569.0,
5.0,,bridge,0.0,0.0,,0.0,,14.316952385374211,,fixed_4__noise0p2__budget4000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7652.857142857143,
5.0,,bridge,0.0,0.0,,0.0,,14.71902402041347,,fixed_4__noise0p4__budget1000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7427.071428571428,
5.0,,bridge,0.0,0.0,,0.0,,15.004426504784663,,fixed_4__noise0p4__budget2000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7554.5,
5.0,,bridge,0.0,0.0,,0.0,,15.53105307563341,,fixed_4__noise0p4__budget4000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7489.214285714285,
4.0,,bridge,0.0,0.0,,0.0,,10.279870763919982,,generic_sparse__noise0p2__budget1000,0.0,,14,1.0,1.0,1.0,0.75,0.0,,,6645.214285714285,
4.0,,bridge,0.0,0.0,,0.0,,9.787985007577975,,generic_sparse__noise0p2__budget2000,0.0,,14,1.0,1.0,1.0,0.75,0.0,,,6613.642857142857,
4.0,,bridge,0.0,0.0,,0.0,,9.792412060512495,,generic_sparse__noise0p2__budget4000,0.0,,14,1.0,1.0,1.0,0.75,0.0,,,6598.928571428572,
4.0,,bridge,0.0,0.0,,0.0,,10.037649256742693,,generic_sparse__noise0p4__budget1000,0.0,,14,1.0,1.0,1.0,0.75,0.0,,,6556.071428571428,
4.0,,bridge,0.0,0.0,,0.0,,9.956171963430409,,generic_sparse__noise0p4__budget2000,0.0,,14,1.0,1.0,1.0,0.75,0.0,,,6573.071428571428,
4.0,,bridge,0.0,0.0,,0.0,,10.047555839077436,,generic_sparse__noise0p4__budget4000,0.0,,14,1.0,1.0,1.0,0.75,0.0,,,6573.642857142857,
5.0,1.0,bridge,0.0,0.0,,0.0,,18.089128474405566,,ours_full__noise0p2__budget1000,0.0,,14,1.0,3.0,1.0,0.888888888888889,0.0,0.5,1.0,9179.857142857143,0.0
5.0,1.0,bridge,0.0,0.0,,0.0,,17.051112557894417,,ours_full__noise0p2__budget2000,0.0,,14,1.0,3.0,1.0,0.888888888888889,0.0,0.5714285714285714,1.0,8984.214285714286,0.0
5.0,1.0,bridge,0.0,0.0,,0.0,,16.983040181554056,,ours_full__noise0p2__budget4000,0.0,,14,1.0,3.0,1.0,0.888888888888889,0.0,0.6428571428571429,1.0,9059.785714285714,0.0
5.0,1.0,bridge,0.0,0.0,,0.0,,18.319815680151805,,ours_full__noise0p4__budget1000,0.0,,14,1.0,3.0,1.0,0.888888888888889,0.0,0.5,1.0,9015.785714285714,0.0
5.0,1.0,bridge,0.0,0.0,,0.0,,17.59638573997654,,ours_full__noise0p4__budget2000,0.0,,14,1.0,3.0,1.0,0.888888888888889,0.0,0.6428571428571429,1.0,9011.5,0.0
5.0,1.0,bridge,0.0,0.0,,0.0,,18.199366748133407,,ours_full__noise0p4__budget4000,0.0,,14,1.0,3.0,1.0,0.888888888888889,0.0,0.5,1.0,8999.285714285714,0.0
5.0,,mathdial,0.0,1.0,0.0,0.0,,16.45688480760769,,debate__noise0p2__budget1000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7782.928571428572,
5.0,,mathdial,0.0,1.0,0.0,0.0,,15.370101520392511,,debate__noise0p2__budget2000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7737.857142857143,
5.0,,mathdial,0.0,1.0,0.0,0.0,,16.192583226432493,,debate__noise0p2__budget4000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7586.714285714285,
5.0,,mathdial,0.0,1.0,0.0,0.0,,17.06614475002113,,debate__noise0p4__budget1000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7564.571428571428,
5.0,,mathdial,0.0,1.0,0.0,0.0,,16.777309815765225,,debate__noise0p4__budget2000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7442.0,
5.0,,mathdial,0.0,1.0,0.0,0.0,,17.598084065198368,,debate__noise0p4__budget4000,0.0,,14,1.0,2.0,1.0,0.22222222222222224,0.0,,,7462.5,
5.0,,mathdial,0.0,1.0,0.0,0.0,,19.420516526492843,,fixed_4__noise0p2__budget1000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7620.5,
5.0,,mathdial,0.0,1.0,0.0,0.0,,18.682408200676687,,fixed_4__noise0p2__budget2000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7716.571428571428,
5.0,,mathdial,0.0,1.0,0.0,0.0,,18.60397764611324,,fixed_4__noise0p2__budget4000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7700.571428571428,
5.0,,mathdial,0.0,1.0,0.0,0.0,,18.575576934264973,,fixed_4__noise0p4__budget1000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7519.0,
5.0,,mathdial,0.0,1.0,0.0,0.0,,18.175872237920494,,fixed_4__noise0p4__budget2000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7590.214285714285,
5.0,,mathdial,0.0,1.0,0.0,0.0,,18.20789109872255,,fixed_4__noise0p4__budget4000,0.0,,14,1.0,1.0,1.0,0.888888888888889,0.0,,,7431.214285714285,
4.0,,mathdial,0.0,1.0,0.0,0.0,,13.311307104304433,,generic_sparse__noise0p2__budget1000,0.0,,14,1.0,1.0,1.0,0.75,0.0,,,7113.285714285715,
4.0,,mathdial,0.0,1.0,0.0,0.0,,14.097779964362937,,generic_sparse__noise0p2__budget2000,0.0,,14,1.0,1.0,1.0,0.75,0.0,,,7183.571428571428,
4.0,,mathdial,0.0,1.0,0.0,0.0,,14.475911413252886,,generic_sparse__noise0p2__budget4000,0.0,,14,1.0,1.0,1.0,0.75,0.0,,,7201.857142857143,
4.0,,mathdial,0.0,1.0,0.0,0.0,,13.289343741722405,,generic_sparse__noise0p4__budget1000,0.0,,14,1.0,1.0,1.0,0.75,0.0,,,6840.285714285715,
